╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕m/л╪кл░╧мqк∙╡P,дgжa▓╛┬р┴`н▒┐n(ендшд╜д╪),│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐n(ендшд╜д╪),л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙(д╕),│ц╗∙(д╕/ендшд╜д╪),иожь├■зO,иожь▓╛┬р┴`н▒┐n(ендшд╜д╪),иожь┴`╗∙(д╕),│╞╡∙,╜s╕╣
╕qж╦╢m,дgжa,╖╦мwмq╖╦мwдpмq811~840жa╕╣,303.9,,пSйw╣A╖~░╧,╣Aкке╬жa,1061107,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,300000,987,,0.0,0,,RPPNMLSLJIMFFBQ66CA
╖s┤ф╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐д╖s┤ф╢mды╝цз°17╛Fдым▄╝ц511~540╕╣,128.0,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1061031,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0720324,122.5,3,1,1,ж│,╡L,2150000,17551,,0.0,0,,RPXNMLRLJIMFFCQ47CA
дjкL┬э,й╨жa(дgжa+л╪кл),╣┼╕q┐ддjкL┬эдjм№и╜дмзUк└░╧13л╤20з╦1~30╕╣,89.08,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061116,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0710622,89.64,3,1,2,ж│,╡L,1800000,20080,,0.0,0,,RPPNMLTLJIMFFCQ86CA
е┴╢п╢m,дgжa,е┴╣Aмq721~750жa╕╣,497.45,жэ,,,1050924,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,6666667,13402,,0.0,0,,RPVNMLSLJIMFFCQ37CA
е┴╢п╢m,дgжa,е┴дuмq241~270жa╕╣,198.0,жэ,,,1061015,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,5750000,29040,,0.0,0,,RPOOMLOJKIMFFCQ88CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m?║╓з°12╛F?║╓61~90╕╣,106.7,жэ,,,1061027,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0930130,194.5,6,1,7,ж│,╡L,5200000,26735,,0.0,0,,RPPOMLOJKIMFFCQ98CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m║╓╝╓з°9╛F░ёид691~720╕╣,77.01,жэ,,,1061101,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0800719,124.54,4,2,3,ж│,╡L,5700000,45768,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC,RPRNMLMJKIMFFCQ88CA
е┴╢п╢m,дgжa,е┴╣Aмq841~870жa╕╣,21.43,ифеL,,,1061025,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,100000,4666,,0.0,0,,RPPNMLQJKIMFFCQ09CA
е┴╢п╢m,дgжa,е┴╣Aмq841~870жa╕╣,330.67,жэ,,,1061025,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,7850000,23740,,0.0,0,,RPQNMLQJKIMFFCQ56CA
╖╦дf╢m,дgжa,╖╦дfмqлс┤фдpмq451~480жa╕╣,3680.5,,пSйw╣A╖~░╧,╣Aкке╬жa,1061103,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4379700,1190,,0.0,0,,RPUNMLOJKIMFFCQ76CA
е┴╢п╢m,дgжa,е┴╣Aмq841~870жa╕╣,116.7,ифеL,,,1061030,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,353000,3025,,0.0,0,,RPTNMLQJKIMFFCQ86CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mкў┐│з°12╛F┤fжw╡є47л╤1~30╕╣,106.29,жэ,,,1061001,дgжa2л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0710315,96.98,4,2,3,ж│,╡L,3180000,32790,,0.0,0,,RPPNMLKLKIMFFCQ68CA
дjкL┬э,й╨жa(дgжa+л╪кл),╣┼╕q┐ддjкL┬экFкLи╜6╛FенйM╡є45л╤1~30╕╣,126.0,жэ,,,1061001,дgжa1л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0940831,184.39,5,2,6,ж│,╡L,6800000,36878,,0.0,0,,RPPNMLRKKIMFFCQ66CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m╝d│╗з°9╛Fе┴┼v╕Ї1~30╕╣,79.0,жэ,,,1061001,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0731115,95.3,5,2,2,ж│,╡L,2800000,29381,,0.0,0,,RPUOMLNKKIMFFCQ86CA
е┴╢п╢m,дgжa,е┴╣Aмq841~870жa╕╣,3466.48,жэ,,,1061001,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,81790000,23595,,0.0,0,,RPUNMLMLKIMFFCQ76CA
▒Ўдs╢m,дgжa,▒Ўе_мq2281~2310жa╕╣,420.0,жэ,,,1061103,дgжa5л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,9696600,23087,,0.0,0,,RPPNMLPJKIMFFEQ56CA
дЇдW╢m,дgжa,дЇжшмq301~330жa╕╣,330.58,жэ,,,1061107,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,6922600,20941,,0.0,0,,RPQNMLTLJIMFFDQ07CA
ддоH╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дддоH╢mйM╖№з°дд╡╪╕Ї798л╤1~30╕╣,78.64,жэ,,,1061026,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0920909,171.46,4,2,4,ж│,╡L,7000000,40826,,0.0,0,,RPQNMLPJKIMFFDQ56CA
ддоH╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дддоH╢m╕qдпз°╛Ё└YоH31~60╕╣,87.42,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1061031,дgжa1л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0851015,174.3,3,1,2,ж│,╡L,3600000,20654,,0.0,0,,RPRNMLPJKIMFFDQ66CA
ддоH╢m,дgжa,е█ОЎмq91~120жa╕╣,218.0,,дsйYжaлOи|░╧,╣Aкке╬жa,1061101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,36910,169,,0.0,0,,RPPNMLRKKIMFFDQ76CA
дЇдW╢m,дgжa,е~╖╦мwмq╖╦мwдpмq1~30жa╕╣,110.0,жэ,,,1061101,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4506000,40964,,0.0,0,╢R╜цецйЎ╗∙оцзtд@┤╔дT╝╙е╝лOжsл╪кл,RPSNMLRKKIMFFDQ07CA
д╗╕}╢m,дgжa,дTйm╝dмqдT╕qдpмq31~60жa╕╣,6515.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1061108,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,8000000,1228,,0.0,0,,RPTNMLSLJIMFFBQ17DA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOелжwдпи╜│╗┤фдlсY31~60╕╣,7.73,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061121,дgжa2л╪кл1иожь0,дн╝h,дн╝h,оMй╨(1й╨1╞U1╜├),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0940815,21.71,1,1,1,ж│,ж│,500000,23031,,0.0,0,,RPVNMLSLJIMFFDQ57DA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m┬╫жмз°16╛Fжnжм╕Ї241~270╕╣,90.1,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1061103,дgжa1л╪кл1иожь0,е■,д@╝h,│zд╤нэ,жэоaе╬,┐j│y,0701216,60.19,2,1,1,ж│,╡L,1250000,20768,,0.0,0,,RPPNMLLJKIMFFCQ78EA
╖s┤ф╢m,дgжa,╖s┤фмqдj┐│дpмq1~30жa╕╣,3.0,ифеL,,,1061020,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,116000,38667,,0.0,0,,RPSNMLOJKIMFFCQ76EA
дjкL┬э,й╨жa(дgжa+л╪кл),╣┼╕q┐ддjкL┬эдjм№и╜12╛FдмзUк└░╧13л╤1~30╕╣,67.37,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061115,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0710622,96.21,4,1,2,ж│,╡L,2750000,28583,,0.0,0,,RPQNMLTLJIMFFCQ17EA
ддоH╢m,дgжa,оHкFмq1051~1080жa╕╣,25.09,░╙,,,1061113,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,590000,23515,,0.0,0,,RPTNMLQJKIMFFDQ07DA
ддоH╢m,дgжa,оHкFмq1051~1080жa╕╣,25.95,░╙,,,1061113,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,610000,23507,,0.0,0,,RPUNMLQJKIMFFDQ17DA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢m╝eдhз°▒Tдl└Y31~60╕╣,118.64,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061001,дgжa7л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0861008,242.38,8,2,3,ж│,╡L,4000000,16503,,0.0,0,,RPTNMLNKKIMFFDQ86DA
╡f╕Ї╢m,дgжa,е_дUз|мq1051~1080жa╕╣,637.12,,д@пы╣A╖~░╧,╣Aкке╬жa,1061027,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4000000,6278,,0.0,0,,RPPNMLTLJIMFFEQ27EA
ж╦▒T╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╦▒T╢m╞W╛Їз°16╛F╞W╛Ї211~240╕╣,109.91,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061008,дgжa4л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0860104,181.59,4,1,3,ж│,╡L,4800000,26433,,0.0,0,,RPQNMLKMJIMFFEQ56EA
ж╦▒T╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╦▒T╢m╞W╛Їз°4╛Fж╡дlоH61~90╕╣,86.43,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061119,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0750828,100.87,2,1,2,ж│,╡L,2600000,25776,,0.0,0,,RPRNMLKMJIMFFEQ66EA
ж╦▒T╢m,дgжa,д║оHдlмq1~30жa╕╣,321.0,,дsйYжaлOи|░╧,╣Aкке╬жa,1061107,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,81000,252,,0.0,0,,RPPNMLLJKIMFFEQ98EA
ддоH╢m,дgжa,┼@е═мq391~420жa╕╣,2500.06,,пSйw╣A╖~░╧,╣Aкке╬жa,1061101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,9831380,3932,,0.0,0,,RPUNMLSKKIMFFDQ37CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢m╝eдhз°4╛F▒Tдl└Y1~30╕╣,70.23,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061101,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0680810,143.66,4,2,3,ж│,╡L,3120000,21718,,0.0,0,,RPQNMLQKKIMFFDQ76CA
│└пє╢m,дgжa,░и╕Yлсмq┬╫╕Yдpмq31~60жa╕╣,322.5,,пSйw▒Mе╬░╧,ец│qе╬жa,1060828,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,387000,1200,,0.0,0,мFй▓иє─│╗∙┴╩,RPQNMLOJKIMFFDQ09CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOел│┬╝dи╜дддs╕ЇдGмq179л╤1~30╕╣,81.96,жэ,,,1061030,дgжa2л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0800620,160.31,4,2,3,ж│,╡L,4300000,26823,,0.0,0,,RPSNMLTLJIMFFDQ27CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOелжwдпи╜┤╬▓yдT╡є121~150╕╣,112.95,жэ,,,1061025,дgжa2л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одg│y,0991228,200.5,5,2,3,ж│,╡L,7500000,37406,,0.0,0,,RPTNMLTLJIMFFDQ37CA
д╙лOел,дgжa,╖s┬┬░ёмq1291~1320жa╕╣,700.12,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061021,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3000000,4285,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPQNMLKMJIMFFDQ88CA
ж╦▒T╢m,дgжa,╜vнэ╝dмq421~450жa╕╣,65.89,,д@пы╣A╖~░╧,╣Aкке╬жa,1061113,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,120000,1821,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC,RPSNMLOJKIMFFEQ76CA
ж╦▒T╢m,дgжa,·▀дlмьмq181~210жa╕╣,3518.0,,дsйYжaлOи|░╧,╣Aкке╬жa,1061113,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1540000,438,,0.0,0,,RPSNMLLKKIMFFEQ56CA
е┴╢п╢m,дgжa,е┴╣Aмq811~840жa╕╣,66.0,жэ,,,1061001,дgжa10л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1200000,18182,,0.0,0,┼vзQдHнt╛сдgжa╝Wн╚╡|,RPTNMLMLKIMFFCQ66CA
дjкL┬э,дgжa,╖sдjоHм№мq1531~1560жa╕╣,596.98,,д@пы╣A╖~░╧,╣Aкке╬жa,1061001,дgжa3л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,750000,1256,,0.0,0,,RPPPMLPLKIMFFCQ76CA
е┴╢п╢m,дgжa,е┴╣Aмq571~600жa╕╣,268.65,жэ,,,1061001,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4770330,17757,,0.0,0,е┴╣Aмq597жa╕╣иCйW╖sеx╣Ї│░╕Uд╕╛убAе┴╣Aмq615жa╕╣иCендшд╜д╪╖sеx╣Ї7200д╕╛убC,RPUNMLNKKIMFFCQ76CA
дjкL┬э,дgжa,й·╡╪мq751~780жa╕╣,775.49,дu,,,1061102,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,6635400,8556,,0.0,0,,RPVNMLQJKIMFFCQ07CA
е┴╢п╢m,дgжa,е┴╣Aмq811~840жa╕╣,18.34,ифеL,,,1061020,дgжa14л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,50000,2726,,0.0,0,,RPRNMLQJKIMFFCQ66CA
ж╡дlел,дgжa,жw║╓мq811~840жa╕╣,111.0,жэ,,,1061019,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2775000,25000,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPQNMLTLJIMFFBQ86CA
╕qж╦╢m,дgжa,жw╖╦╝dмqен╖╦дpмq451~480жa╕╣,1602.0,,пSйw▒Mе╬░╧,╣Aкке╬жa,1061018,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1500000,936,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPRNMLTLJIMFFBQ96CA
╕qж╦╢m,дgжa,дн╢бнэмqдннэдpмq481~510жa╕╣,2723.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1061019,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1800000,661,,0.0,0,,RPQNMLKMJIMFFBQ68CA
кFе█╢m,дgжa,╢є┤ф╖sмq1~30жa╕╣,7817.11,,д@пы╣A╖~░╧,╛i┤▐е╬жa,1061117,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3500000,448,,0.0,0,,RPSNMLKMJIMFFBQ88CA
ем│U┬э,дgжa,┤║дsмq391~420жa╕╣,606.42,╣A,,,1061101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,660000,1088,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPQNMLMKKIMFFBQ78CA
ж╡дlел,дgжa,д√мD╞WмqкQ▒Ўдpмq181~210жa╕╣,2500.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1061114,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3775000,1510,,0.0,0,,RPQNMLOJKIMFFBQ88CA
кFе█╢m,дgжa,о▀дl▒[мqкF▒[дpмq151~180жa╕╣,2081.2,,д@пы╣A╖~░╧,╣Aкке╬жa,1061116,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1456840,700,,0.0,0,,RPPNMLKMJIMFFBQ58CA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlелдхд╞лn╕Ї91~120╕╣,73.76,жэ,,,1061001,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0530927,87.26,3,2,2,ж│,╡L,4900000,56154,,0.0,0,,RPTNMLSKKIMFFBQ07CA
╖s┤ф╢m,дgжa,ддмvдlмq121~150жa╕╣,1663.32,,пSйw╣A╖~░╧,╣Aкке╬жa,1061023,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2215000,1332,,0.0,0,,RPRNMLTLJIMFFCQ07CA
╖s┤ф╢m,дgжa,ддмvдlмq121~150жa╕╣,1018.68,,пSйw╣A╖~░╧,╣Aкке╬жa,1061023,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1520000,1492,,0.0,0,,RPSNMLTLJIMFFCQ17CA
дjкL┬э,й╨жa(дgжa+л╪кл),╣┼╕q┐ддjкL┬эенкLи╜и|н^╡є61~90╕╣,108.72,жэ,,,1061021,дgжa2л╪кл1иожь0,е■,е|╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1041113,214.06,3,2,4,ж│,╡L,9200000,42979,,0.0,0,,RPPNMLKMJIMFFCQ68CA
╖s┤ф╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐д╖s┤ф╢mоcлeз°дде┐╕Ї4л╤1~30╕╣,88.0,жэ,,,1061114,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050114,138.91,5,1,4,ж│,╡L,6500000,46793,,0.0,0,,RPQNMLRJKIMFFCQ66CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mиqкLз°кLдlз└31~60╕╣,120.0,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060717,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1060926,176.01,3,2,3,ж│,╡L,6660000,37839,,0.0,0,,RPPNMLKKKIMFFCQ58CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mиqкLз°кLдlз└31~60╕╣,122.75,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060307,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1060926,175.34,3,2,3,ж│,╡L,6800000,38782,,0.0,0,,RPQNMLKKKIMFFCQ68CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mиqкLз°кLдlз└31~60╕╣,128.23,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060318,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1060926,180.35,3,2,3,ж│,╡L,6900000,38259,,0.0,0,,RPSNMLKKKIMFFCQ88CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mиqкLз°кLдlз└31~60╕╣,130.98,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060418,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1060926,180.11,3,2,3,ж│,╡L,6900000,38310,,0.0,0,,RPTNMLKKKIMFFCQ98CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mиqкLз°кLдlз└31~60╕╣,133.72,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060819,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1060926,180.35,3,2,3,ж│,╡L,6850000,37982,,0.0,0,,RPUNMLKKKIMFFCQ09CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mиqкLз°кLдlз└31~60╕╣,134.32,,╢mз°░╧,дA║╪л╪┐vе╬жa,1051203,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1060926,180.35,2,2,3,ж│,╡L,7100000,39368,,0.0,0,,RPVNMLKKKIMFFCQ56CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mиqкLз°кLдlз└31~60╕╣,126.86,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060809,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1060926,180.44,3,2,3,ж│,╡L,6870000,38074,,0.0,0,,RPWNMLKKKIMFFCQ66CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mиqкLз°кLдlз└31~60╕╣,105.58,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050715,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1060926,194.61,5,2,3,ж│,╡L,7800000,40080,,0.0,0,,RPRNMLTJKIMFFCQ96CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mиqкLз°кLдlз└31~60╕╣,142.55,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050301,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1060926,182.09,4,2,3,ж│,╡L,8580000,47120,,0.0,0,,RPSNMLTJKIMFFCQ07CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mиqкLз°кLдlз└31~60╕╣,142.87,,╢mз°░╧,дA║╪л╪┐vе╬жa,1050703,дgжa2л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1060926,214.76,4,2,3,ж│,╡L,8000000,37251,,0.0,0,,RPTNMLTJKIMFFCQ17CA
е┴╢п╢m,й╨жa(дgжa+л╪кл)+иожь,╣┼╕q┐де┴╢п╢m║╓╝╓з°1╛F░ёид╕Ї1~30╕╣,23.63,жэ,,,1061001,дgжa1л╪кл1иожь1,дQ╝h,дQд@╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0830808,214.14000000000001,3,2,2,ж│,ж│,2600000,12142,йY╣D╛ў▒ё,0.0,0,,RPXNMLNKKIMFFCQ07CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mиqкLз°кLдlз└31~60╕╣,125.49,,╢mз°░╧,дA║╪л╪┐vе╬жa,1051001,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1060926,180.11,3,2,3,ж│,╡L,6780000,37644,,0.0,0,,RPQNMLTKKIMFFCQ96CA
ж╦▒T╢m,дgжa,╝╠╛ЁйWмq1351~1380жa╕╣,119.0,,дsйYжaлOи|░╧,кL╖~е╬жa,1061121,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,30000,252,,0.0,0,,RPQNMLPJKIMFFEQ66CA
│└пє╢m,дgжa,│└пємq│└кFдpмq661~690жa╕╣,3297.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1061029,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,6400000,1941,,0.0,0,,RPPNMLPJKIMFFDQ09CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mе┴е═з°е▀╖~╡є4л╤1~30╕╣,73.31,,╢mз°░╧,дA║╪л╪┐vе╬жa,1061115,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0690301,94.9,4,2,2,ж│,╡L,3700000,38988,,0.0,0,,RPRNMLKKKIMFFDQ88CA
